date,Suspended Matter,Dissolved Oxygen Matter,Temperature,Chlorophyl,Turbidity,Salinity,Dissolved Oxygen,pH,Year,Month
02-01-2018,0.644285736,,,,,,,,2018,2
03-01-2018,0.622272785,0.567148992,6.891030601,,,,,,2018,3
06-01-2018,0.538131251,0.562346997,,,,,,,2018,6
07-01-2018,0.649144341,,,,,,,,2018,7
10-01-2018,0.599350287,,,,,,,,2018,10
11-01-2018,0.668438549,,,,,,,,2018,11
14-01-2018,0.618138008,0.532958079,,,,,,,2018,1
15-01-2018,0.638576875,0.570673319,,,,,,,2018,1
18-01-2018,0.602938534,0.505731436,,,,,,,2018,1
19-01-2018,0.613634521,0.556269841,22.11181318,,,,,,2018,1
22-01-2018,0.600570919,0.510723471,,,,,,,2018,1
23-01-2018,0.593475307,0.528796912,,,,,,,2018,1
25-01-2018,0.583809471,0.467154129,,,,,,,2018,1
26-01-2018,0.630057129,0.572351852,,,,,,,2018,1
29-01-2018,0.619226061,0.553380188,,,,,,,2018,1
30-01-2018,0.659118735,0.612792647,,,,,,,2018,1
02-02-2018,0.624288957,0.551645568,,,,,,,2018,2
03-02-2018,0.692448587,0.598561875,,,,,,,2018,3
06-02-2018,0.612153427,0.646600507,,,,,,,2018,6
07-02-2018,0.625694937,,,,,,,,2018,7
10-02-2018,0.628486522,,,,,,,,2018,10
11-02-2018,0.692516763,0.445178029,,,,,,,2018,11
14-02-2018,0.610626645,0.511090969,,,,,,,2018,2
15-02-2018,0.580775741,0.517714162,,,,,,,2018,2
18-02-2018,0.60145157,0.516348715,,,,,,,2018,2
19-02-2018,0.648363494,0.593052665,,,,,,,2018,2
21-02-2018,0.615978685,0.531547109,,,,,,,2018,2
22-02-2018,0.655057298,0.607570881,,,,,,,2018,2
25-02-2018,0.619430831,0.565532118,,,,,,,2018,2
26-02-2018,0.616159584,0.555234241,,,,,,,2018,2
01-03-2018,0.622698551,0.553823407,17.96172704,,,,,,2018,1
02-03-2018,0.636813392,0.647951998,,,,,,,2018,2
05-03-2018,0.620661449,0.579845987,,,,,,,2018,5
06-03-2018,0.581314261,0.645100849,,,,,,,2018,6
09-03-2018,0.636926022,0.609802748,,,,,,,2018,9
10-03-2018,0.648498267,0.573724382,,,,,,,2018,10
13-03-2018,0.600995004,0.509822743,,,,,,,2018,3
14-03-2018,0.634842507,0.579190831,,,,,,,2018,3
17-03-2018,0.591100424,0.492311777,34.92697221,,,,,,2018,3
18-03-2018,0.613977703,0.570673319,,,,,,,2018,3
20-03-2018,0.623762515,0.543498399,,,,,,,2018,3
20-03-2018,0.559665557,0.543498399,,,,,,,2018,3
21-03-2018,,,,,,,,,2018,3
23-03-2018,0.636779329,0.604995618,,,,,,,2018,3
24-03-2018,,,28.82412542,,,,,,2018,3
25-03-2018,0.684882081,0.673581622,,,,,,,2018,3
25-03-2018,0.633696506,0.673581622,,,,,,,2018,3
25-03-2018,,0.673581622,,,,,,,2018,3
28-03-2018,,,,,,,,,2018,3
29-03-2018,0.64946182,0.612867711,,,,,,,2018,3
01-04-2018,,,,,,,,,2018,1
02-04-2018,0.658114654,,38.18779502,,,,,,2018,2
03-04-2018,0.62865235,,,,,,,,2018,3
03-04-2018,,,,,,,,,2018,3
03-04-2018,,,,,,,,,2018,3
03-04-2018,,,,,,,,,2018,3
03-04-2018,,,,,,,,,2018,3
03-04-2018,,,,,,,,,2018,3
03-04-2018,,,,,,,,,2018,3
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
04-04-2018,,,,,,,,,2018,4
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,0.68925758,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
05-04-2018,,,,,,,,,2018,5
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,0.62605576,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
06-04-2018,,,,,,,,,2018,6
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
07-04-2018,,0.595312588,,,,,,,2018,7
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
08-04-2018,,,,,,,,,2018,8
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,0.634567191,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
09-04-2018,,,36.17609796,,,,,,2018,9
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
11-04-2018,,0.546700843,,,,,,,2018,11
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
12-04-2018,,0.49262191,,,,,,,2018,12
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,0.640967776,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
13-04-2018,,0.599725779,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,0.617977621,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
14-04-2018,,0.535936682,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
15-04-2018,,,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
17-04-2018,,0.610152042,,,,,,,2018,4
